Da quale stazione sei partito/a?,"Hai appena lasciato la stazione _*{{field:42d2f2dc-d593-4fe8-a3b3-a31906b72338}}*_
Che parola ti viene in mente pensando a questo luogo?",Dove stai andando?,Sei in Compagnia?,Perché stai usando il Minimetrò oggi?,Quanto spesso usi il Minimetrò nella tua vita quotidiana?,Quanti anni hai?,Genere,Dove vivi principalmente?,In quale zona del comune di Perugia vivi?,Cosa fai nella tua vita quotidiana?,"Se non ci fosse il Minimetrò, come ti sposteresti normalmente?",Qual è il tuo livello di energia?,Quanto sei contento?,Quanto ti senti in controllo di ciò che ti succede?,C'è una parola che si avvicina a quello che senti? (facoltativo),Vuoto – Affollato,Silenzioso – Rumoroso,Pulito – Sporco,"Quando mi trovo in questo spazio, mi sento circondato da persone simili a me.","In questo luogo mi sento al sicuro, anche in presenza di persone che non conosco. ",Questo spazio mi appartiene: sento che fa parte della mia identità e di chi sono.,"In questo spazio, mi sentirei a mio agio nello scambiare qualche parola con gli altri passeggeri.",Quale parola vorresti RICEVERE da qualcuno in questo momento?,Quale parola vorresti LASCIARE a chi salirà su questo vagone dopo di te?,Quanto ti sembra veloce questo viaggio?,"Se questo viaggio fosse un colore, quale sarebbe?",Submitted At,Stato d'animo
Pian Di Massiano,,Fontivegge,Partner,Ritorno a casa,3,22,Donna,Nei dintorni di Perugia (provincia / comuni vicini),,Studente/studentessa,Bus,3,4,2,Serenità,2,2,2,3,3,3,2,vivi,tutto passa,7,Rosso,08/05/2026 14.00.47,felicità
Case Bruciate,Industriale,Pian Di Massiano,Partner,Tempo libero / svago,5,22,Uomo,Nel comune di Perugia,,Studente/studentessa,Bus,2,3,3,Noia,5,3,3,2,2,3,2,Bei capelli,Lasciate ogni speranza voi che entrate,9,Grigio,08/05/2026 14.06.12,Tristezza
Cortonese,,Pincetto,Nessuno (sono da solo/a),Commissioni / necessità,4,20,Donna,Nel comune di Perugia,Elce,Studente/studentessa,A piedi,3,3,2,Irritazione,2,2,3,1,1,2,2,Insegui i tuoi sogni,parla a bassa voce,6,Rosso,08/05/2026 14.09.36,felicità
Madonna Alta,,Pincetto,Nessuno (sono da solo/a),Lavoro,5,26,Donna,Nel comune di Perugia,Perugia-Acropoli,Lavoratore/lavoratrice,A piedi,4,4,4,Serenità,4,3,4,4,4,5,5,Sei magnetica,Sei giusto/a così come sei,7,Azzurro,08/05/2026 16.26.06,felicità
Cupa,,Fontivegge,Nessuno (sono da solo/a),Ritorno a casa,1,22,Donna,Nel comune di Perugia,Elce,Studente/studentessa,Bus,2,3,3,Stanchezza,3,3,4,1,1,3,2,Non ti preoccupare così tanto,Non essere cattivo,5,Arancione,08/05/2026 17.11.23,Tristezza
Pincetto,,Case Bruciate,Amici,Spostamento di passaggio / collegamento,1,21,Uomo,Nel comune di Perugia,,Studente/studentessa,Auto,3,3,4,Preoccupato,2,1,3,3,4,3,4,Bell'outfit,Buona Giornata,5,Rosso,08/05/2026 18.52.23,felicità
Pincetto,rosso,Cortonese,Amici,Tempo libero / svago,3,17,Donna,Nel comune di Perugia,Monteluce,Studente/studentessa,A piedi,3,5,4,Serenità,2,1,1,3,4,2,2,dove scendi,goditi il viaggio con serenità e gioia il viaggio é più importante della destinazione,7,Rosso,08/05/2026 18.56.22,felicità
Cupa,Spensieratezza,Pian Di Massiano,Nessuno (sono da solo/a),Lavoro,3,33,Uomo,Nei dintorni di Perugia (provincia / comuni vicini),,Lavoratore/lavoratrice,Bus,3,3,4,,3,3,3,3,3,3,4,Bellezza,Vivere e non sopravvivere,6,Arancione,09/05/2026 9.31.34,felicità
Fontivegge,zona malfamata,Pincetto,Amici,Studio,1,19,Donna,Nei dintorni di Perugia (provincia / comuni vicini),,Studente/studentessa,Auto,2,3,4,Noia,3,1,3,3,4,1,3,serenità,DAJE ROMA DAJE,7,Rosso,09/05/2026 11.08.47,felicità
Pian Di Massiano,,Case Bruciate,Amici,Ritorno a casa,3,20,Donna,Nel comune di Perugia,Via R. D'Andreotto,Studente/studentessa,Bus,1,4,3,,3,2,2,2,5,5,3,Ti regalo un milione di euro,Pensa positivo,7,Blu,09/05/2026 18.12.23,felicità
Pincetto,,Case Bruciate,Nessuno (sono da solo/a),Ritorno a casa,5,21,Uomo,Nel comune di Perugia,Fontivegge,Studente/studentessa,Bus,1,1,1,Stanchezza,3,5,2,1,3,2,3,Non voglio parlare con nessuno,Non voglio parlare con nessuno,6,Grigio,10/05/2026 16.15.59,Tristezza
Case Bruciate,infanzia,Cupa,Amici,Studio,5,18,Donna,Nel comune di Perugia,Pian di Massiano,Studente/studentessa,Bus,1,2,1,Stanchezza,4,2,4,5,4,3,2,saltiamo la prima ora?,"no, non cade tranquillo",7,Grigio,11/05/2026 5.52.56,Tristezza
Cupa,Buio,Madonna Alta,Nessuno (sono da solo/a),Lavoro,3,52,Uomo,Nel comune di Perugia,,Lavoratore/lavoratrice,Auto,3,3,4,Curiosità,2,2,2,4,4,3,4,Oggi è una buona giornata,Cerca di essere felice,4,Arancione,11/05/2026 16.56.09,felicità
Pian Di Massiano,Comodo,Cupa,Nessuno (sono da solo/a),Studio,5,19,Donna,Nei dintorni di Perugia (provincia / comuni vicini),,Studente/studentessa,Auto,3,3,3,Stanchezza,3,2,2,2,4,2,5,Stai facendo le cose giuste,Goditi la giornata,7,Blu,12/05/2026 13.06.17,felicità
