var1,var2,chi2,dof,p,sig,V
motivo,gr_eta,64.43,7,0.0,***,0.595
compagnia,gr_eta,21.3,4,0.00028,***,0.342
gr_frequenza,gr_residenza,7.51,1,0.00614,**,0.204
destinazione,gr_eta,17.75,6,0.0069,**,0.312
stazione_partenza,gr_residenza,14.25,6,0.02701,*,0.281
destinazione,gr_residenza,13.1,6,0.04143,*,0.27
gr_eta,fascia,10.43,5,0.06394,,0.239
alternativa,gr_frequenza,8.71,4,0.06882,,0.219
motivo,gr_residenza,11.64,7,0.11306,,0.254
compagnia,gr_residenza,7.05,4,0.13332,,0.198
alternativa,gr_residenza,6.04,4,0.1959,,0.183
stazione_partenza,gr_eta,8.6,6,0.19746,,0.217
gr_frequenza,gr_eta,0.86,1,0.35507,,0.069
gr_residenza,fascia,4.66,5,0.45933,,0.161
gr_frequenza,fascia,3.13,5,0.67987,,0.131
genere,gr_residenza,1.19,3,0.75441,,0.081
gr_eta,gr_residenza,0.06,1,0.80742,,0.018
destinazione,gr_frequenza,2.36,6,0.88371,,0.114
