,n,mean,std,min,median,max
energia,182.0,3.2637362637362637,1.0064451398668752,1.0,3.0,5.0
contentezza,182.0,3.5604395604395602,1.0159913777942664,1.0,4.0,5.0
controllo,182.0,3.2362637362637363,1.1244167532686744,1.0,3.0,5.0
vuoto_affollato,182.0,2.7032967032967035,0.9971728599323975,1.0,3.0,5.0
silenzioso_rumoroso,182.0,2.4725274725274726,1.0651761386847767,1.0,2.0,5.0
pulito_sporco,182.0,2.6263736263736264,1.0989533106411287,1.0,3.0,5.0
persone_simili,182.0,2.8956043956043955,1.1050273952667258,1.0,3.0,5.0
sicurezza,182.0,3.4615384615384617,1.1204546463532723,1.0,4.0,5.0
appartenenza,182.0,2.9395604395604398,1.2038959886865213,1.0,3.0,5.0
interazione,182.0,3.1648351648351647,1.2724339252889385,1.0,3.0,5.0
velocita_percepita,182.0,6.34065934065934,2.1834119997513355,1.0,7.0,10.0
