Da quale stazione sei partito/a?,"Hai appena lasciato la stazione _*{{field:42d2f2dc-d593-4fe8-a3b3-a31906b72338}}*_
Che parola ti viene in mente pensando a questo luogo?",Dove stai andando?,Sei in Compagnia?,Perché stai usando il Minimetrò oggi?,Quanto spesso usi il Minimetrò nella tua vita quotidiana?,Quanti anni hai?,Genere,Dove vivi principalmente?,In quale zona del comune di Perugia vivi?,Cosa fai nella tua vita quotidiana?,"Se non ci fosse il Minimetrò, come ti sposteresti normalmente?",Qual è il tuo livello di energia?,Quanto sei contento?,Quanto ti senti in controllo di ciò che ti succede?,C'è una parola che si avvicina a quello che senti? (facoltativo),Vuoto – Affollato,Silenzioso – Rumoroso,Pulito – Sporco,"Quando mi trovo in questo spazio, mi sento circondato da persone simili a me.","In questo luogo mi sento al sicuro, anche in presenza di persone che non conosco. ",Questo spazio mi appartiene: sento che fa parte della mia identità e di chi sono.,"In questo spazio, mi sentirei a mio agio nello scambiare qualche parola con gli altri passeggeri.",Quale parola vorresti RICEVERE da qualcuno in questo momento?,Quale parola vorresti LASCIARE a chi salirà su questo vagone dopo di te?,Quanto ti sembra veloce questo viaggio?,"Se questo viaggio fosse un colore, quale sarebbe?",Submitted At
Cortonese,innovazione,Cupa,Amici,Tempo libero / svago,1,18,Donna,In un’altra zona d’Italia,,Studente/studentessa,Bus,5,4,3,Ansia,2,2,3,3,4,3,3,chiacchiere,,7,Grigio,"08/05/2026 14,20,15"
Cupa,,Pian Di Massiano,Colleghi,Studio,5,20,Donna,Nel comune di Perugia,Castel del Piano,Studente-lavoratore,Auto,4,4,4,Curiosità,5,5,3,4,4,2,4,,puzza,5,Grigio,"08/05/2026 14,14,40"
Cortonese,,Pincetto,Nessuno (sono da solo/a),Commissioni / necessità,4,20,Donna,Nel comune di Perugia,Elce,Studente/studentessa,A piedi,3,3,2,Irritazione,2,2,3,1,1,2,2,Insegui i tuoi sogni,parla a bassa voce,6,Rosso,"08/05/2026 14,09,36"
Case Bruciate,Industriale,Pian Di Massiano,Partner,Tempo libero / svago,5,22,Uomo,Nel comune di Perugia,,Studente/studentessa,Bus,2,3,3,Noia,5,3,3,2,2,3,2,Bei capelli,Lasciate ogni speranza voi che entrate,9,Grigio,"08/05/2026 14,06,12"
Pian Di Massiano,,Fontivegge,Amici,Spostamento di passaggio / collegamento,1,19,Donna,Nei dintorni di Perugia (provincia / comuni vicini),,Studente/studentessa,Auto,4,3,3,Curiosità,2,4,4,2,2,2,2,non lo so,boh,7,Giallo,"08/05/2026 14,05,44"
Pian Di Massiano,università,Fontivegge,Amici,Ritorno a casa,1,19,Donna,Nei dintorni di Perugia (provincia / comuni vicini),,Studente/studentessa,Bus,4,3,2,Stanchezza,2,2,4,3,3,2,1,ciao,buon viaggio,8,Rosso,"08/05/2026 14,05,32"
Pian Di Massiano,,Case Bruciate,Partner,Studio,3,20,Donna,Nel comune di Perugia,Fontivegge,Studente/studentessa,Bus,1,2,2,Irritazione,3,4,2,1,1,2,1,,boh,1,Azzurro,"08/05/2026 14,02,27"
Pian Di Massiano,bello,Pincetto,Amici,Studio,1,18,Uomo,Nei dintorni di Perugia (provincia / comuni vicini),,Studente/studentessa,Bus,5,5,5,Serenità,3,1,4,1,5,1,3,,,10,Rosso,"08/05/2026 14,01,34"
Pian Di Massiano,Rosso,Fontivegge,Partner,Ritorno a casa,3,22,Uomo,Nel comune di Perugia,Elce,Studente/studentessa,Bus,2,3,4,Stanchezza,4,3,2,4,3,2,2,bravo,bravɜ,7,Rosso,"08/05/2026 14,00,57"
Pian Di Massiano,,Fontivegge,Partner,Ritorno a casa,3,22,Donna,Nei dintorni di Perugia (provincia / comuni vicini),,Studente/studentessa,Bus,3,4,2,Serenità,2,2,2,3,3,3,2,vivi,tutto passa,7,Rosso,"08/05/2026 14,00,47"
Pian Di Massiano,Utile,Fontivegge,Nessuno (sono da solo/a),Ritorno a casa,2,17,Uomo,Nel comune di Perugia,Prepo,Studente/studentessa,Auto,4,4,4,Serenità,2,1,3,3,4,3,3,Giorno,Giorno,7,Grigio,"08/05/2026 14,00,14"
Pian Di Massiano,,Cupa,Amici,Spostamento di passaggio / collegamento,5,18,Donna,Nei dintorni di Perugia (provincia / comuni vicini),,Studente/studentessa,Bus,2,3,2,,3,4,3,1,1,1,1,,,5,Arancione,"08/05/2026 13,54,25"
Pian Di Massiano,,Fontivegge,Nessuno (sono da solo/a),Ritorno a casa,3,23,Donna,In un’altra zona d’Italia,,Studente/studentessa,Bus,2,1,3,,1,2,2,2,3,2,1,tenerezza,Limpido,2,Azzurro,"08/05/2026 13,53,28"
Fontivegge,Accogliente,Pincetto,Nessuno (sono da solo/a),Lavoro,1,33,Non binario,In un’altra zona d’Italia,,Lavoratore/lavoratrice,Bus,2,4,5,Entusiasmo,3,3,4,5,4,4,3,Vita,Calma,8,Bianco,"08/05/2026 14,33,40"
Cortonese,Scuola,Fontivegge,Amici,Ritorno a casa,3,18,Donna,Nei dintorni di Perugia (provincia / comuni vicini),,Studente/studentessa,Bus,2,3,4,Stanchezza,4,4,2,5,4,4,4,Ansia ?,Buon tutto,8,Blu,"08/05/2026 14,59,58"
Cupa,Università,Pian Di Massiano,Amici,Studio,2,20,Uomo,Nei dintorni di Perugia (provincia / comuni vicini),,Studente-lavoratore,Auto,4,4,4,Serenità,2,1,3,1,4,2,3,Grazie,Buona giornata,6,Grigio,"08/05/2026 15,38,17"
Pian Di Massiano,"Bello, moderno, funzionale,utile",Pincetto,Partner,Turismo,1,26,Donna,In un’altra zona d’Italia,,Lavoratore/lavoratrice,Auto,4,5,4,Sorpresa,2,1,2,3,5,4,5,Buona giornata,Passa un bel weekend,9,Verde,"08/05/2026 15,39,54"
Madonna Alta,,Pincetto,Nessuno (sono da solo/a),Lavoro,5,26,Donna,Nel comune di Perugia,Perugia-Acropoli,Lavoratore/lavoratrice,A piedi,4,4,4,Serenità,4,3,4,4,4,5,5,Sei magnetica,Sei giusto/a così come sei,7,Azzurro,"08/05/2026 16,26,06"
Case Bruciate,,Pincetto,Nessuno (sono da solo/a),Tempo libero / svago,3,24,Donna,Nel comune di Perugia,Perugia-SanPietro,Studente/studentessa,Bus,2,3,3,Ansia,2,1,2,3,4,2,1,Tranquilla,Serenità,4,Rosso,"08/05/2026 16,26,46"
